index,blockTime,tickCumulative,secondsPerLiquidityCumulativeX128,initialized
270,1708711751,-22538400985894,250412940292913705119460032174,true
271,1708711811,-22538416150654,250412949452523654028258571804,true
272,1708711895,-22538437378210,250412962275981843018207163706,true
273,1708712015,-22538467704970,250412980595201740835804242966,true
274,1708712027,-22538470737322,250412982427124339262939756094,true
275,1708712075,-22538482865722,250412989754814732971481808609,true
276,1708712147,-22538501054794,250413000746364869439223254430,true
277,1708712255,-22538528333434,250413017233690074140835423162,true
278,1708712291,-22538537428834,250413022729465142374706146072,true
279,1708712387,-22538561680642,250413037384865324331694740500,true
280,1708712399,-22538564712130,250413039216790347076318314803,true
281,1708712639,-22538625351010,250413075855242315619028577381,true
282,1708712999,-22538716296010,250413130812992997957735806489,true
283,1708713131,-22538749646470,250413150964168248148595123828,true
284,1708713515,-22538846637190,250413209585768975976549501543,true
285,1708713539,-22538852700166,250413213249619021465796650150,true
286,1708713731,-22538901215494,250413242560380596299964860212,true
287,1708713839,-22538928500938,250413259047705801001577028944,true
288,1708714559,-22539110410378,250413368963207165678991487161,true
289,1708714775,-22539164982562,250413401937857575082215824626,true
290,1708714835,-22539180139222,250413411097482688805333696144,true
291,1708714847,-22539183169462,250413412929407711549957270447,true
292,1708714859,-22539186199210,250413414760728886465658995692,true
293,1708715159,-22539261918010,250413460543758259358202126822,true
294,1708715171,-22539264947014,250413462375079434273903852067,true
295,1708715483,-22539343709854,250413509989429982082148708442,true
296,1708715495,-22539346738762,250413511820751156997850433687,true
297,1708715663,-22539389143810,250413537459247605817674587120,true
298,1708715795,-22539422462194,250413557603780529890393564817,true
299,1708715831,-22539431551618,250413563099555598124264287727,true
300,1708716011,-22539477000178,250413590578430939293617902281,true
301,1708716071,-22539492147538,250413599735036813872126528507,true
302,1708716095,-22539498205618,250413603397679163703529978997,true
303,1708716419,-22539579963454,250413652843350886427476560618,true
304,1708716551,-22539613265866,250413672987883810500195538315,true
305,1708716623,-22539631433122,250413683975810859994405889786,true
306,1708716815,-22539679887586,250413713276949658645633493709,true
307,1708717307,-22539804036406,250413788361117830189404228763,true
308,1708717319,-22539807065722,250413790192439005105105954008,true
309,1708717583,-22539873695098,250413830481504853250543909402,true
310,1708718111,-22540006970746,250413911059636549541419820191,true
311,1708718279,-22540049368234,250413936698132998361243973624,true
312,1708718483,-22540100851510,250413967830592971928173302792,true
313,1708718891,-22540203823774,250414030095512919062031961129,true
314,1708719083,-22540252282078,250414059396651717713259565052,true
315,1708719215,-22540285592806,250414079541184641785978542749,true
316,1708719803,-22540433949910,250414169275922212655363079764,true
317,1708720523,-22540615629670,250414279155192707597466594477,true
318,1708720607,-22540636823122,250414291974440932007378671193,true
319,1708720907,-22540712501422,250414337757470304899921802323,true
320,1708720943,-22540721583070,250414343251433829647026978058,true
321,1708721303,-22540812402790,250414398191069077118078735414,true
322,1708721327,-22540818456862,250414401853711426949482185904,true
323,1708721435,-22540845695758,250414418335607932172939496334,true
324,1708721447,-22540848721846,250414420166929766086656975270,true
325,1708721471,-22540854773230,250414423829573433914091933143,true
326,1708721519,-22540866876238,250414431154860769568961848889,true
327,1708721543,-22540872927166,250414434817504437396396806762,true
328,1708721651,-22540900150402,250414451299402099599663420479,true
329,1708721735,-22540921326634,250414464118655836868870786703,true
330,1708721867,-22540954608190,250414484263196009919763055006,true
331,1708722275,-22541057456014,250414546528142733798770262383,true
332,1708722791,-22541187542710,250414625274987119881044083478,true
333,1708723067,-22541257121482,250414667395392256622725429645,true
334,1708723307,-22541317633642,250414704021828934897075008379,true
335,1708723571,-22541384189362,250414744310912109171726730799,true
336,1708723763,-22541432586610,250414773612063508644200710741,true
337,1708723775,-22541435610922,250414775443385471111230334487,true
338,1708724027,-22541499110386,250414813901146682918852433161,true
339,1708724279,-22541562617662,250414852358907894726474531835,true
340,1708724963,-22541735011654,250414956744259755347163085380,true
341,1708724987,-22541741061310,250414960406903680281222332872,true
342,1708725107,-22541771314390,250414978720123304951518570336,true
343,1708725671,-22541913526426,250415064792249498896240080361,true
344,1708725803,-22541946806134,250415084936791086033565941571,true
345,1708726019,-22542001263190,250415117900586410440099169006,true
346,1708726091,-22542019415614,250415128888518185242276911484,true
347,1708726451,-22542110160814,250415183828177059253165623876,true
348,1708727531,-22542382439614,250415348647153681285831761052,true
349,1708727579,-22542394542766,250415355972441016940701676798,true
350,1708727591,-22542397568818,250415357803762850854419155734,true
351,1708727627,-22542406650178,250415363297726375601524331469,true
352,1708727675,-22542418761250,250415370623011075264331232449,true
353,1708727747,-22542436926202,250415381610938124758541583920,true
354,1708728215,-22542555007282,250415453032463946470908868483,true
355,1708728479,-22542621635866,250415493321529794616346823877,true
356,1708728551,-22542639805426,250415504309456844110557175348,true
357,1708728899,-22542727600258,250415557417770916665907207459,true
358,1708729163,-22542794213266,250415597706836764811345162853,true
359,1708729451,-22542866871058,250415641658544962788186568738,true
360,1708730171,-22543048558018,250415751537815457730290083451,true
361,1708730363,-22543097012098,250415780838954256381517687374,true
362,1708730471,-22543124261362,250415797320844830622833214581,true
363,1708730507,-22543133343478,250415802814808355369938390316,true
364,1708730639,-22543166640082,250415822959341279442657368013,true
365,1708730651,-22543169666626,250415824790663113356374846949,true
366,1708730735,-22543190850418,250415837609915950752397199506,true
367,1708730939,-22543242290650,250415868742387127285594341430,true
368,1708730963,-22543248338674,250415872405031052219653588922,true
369,1708731383,-22543354189174,250415936501299738565690420046,true
370,1708731791,-22543457025982,250415998766246462444697627423,true
371,1708731947,-22543496349058,250416022573431974516082736126,true
372,1708732175,-22543553812126,250416057368549261389645587307,true
373,1708732439,-22543620357814,250416097657632435664297309727,true
374,1708732475,-22543629431182,250416103151598323065386180966,true
375,1708733039,-22543771567078,250416189223730559015778497047,true
376,1708733159,-22543801812598,250416207536950183686074734511,true
377,1708733327,-22543844165062,250416233175457658224489466960,true
378,1708733363,-22543853239186,250416238669423545625578338199,true
379,1708733375,-22543856263126,250416240500745508092607961945,true
380,1708733399,-22543862310262,250416244163389433026667209437,true
381,1708733435,-22543871379454,250416249657355320427756080676,true
382,1708733495,-22543886493094,250416258813965132762904199408,true
383,1708733519,-22543892537350,250416262476579396159393579924,true
384,1708733579,-22543907645350,250416265056766131680692726324,true
385,1708733603,-22543913687878,250416266088840825889212384884,true
386,1708733639,-22543922750950,250416271582970107102363721749,true
387,1708733711,-22543940871982,250416282571391576526927563529,true
388,1708733795,-22543962018898,250416295391026566024280682882,true
389,1708733807,-22543965039538,250416297222402993095331128503,true
390,1708733879,-22543983157258,250416308210831804364130593488,true
391,1708733939,-22543998252838,250416317367855813754796814309,true
392,1708733951,-22544001271834,250416319199260615632930058473,true
393,1708734023,-22544019382498,250416330188926683844957853754,true
394,1708734047,-22544025419986,250416333852148706582300452181,true
395,1708734071,-22544031458578,250416337514958310338566940509,true
396,1708734107,-22544040515386,250416343009791344444580838149,true
397,1708734143,-22544049572806,250416348504005750078980570641,true
398,1708734191,-22544061651430,250416355829624957591513547297,true
399,1708734203,-22544064670534,250416357661029759469646791461,true
400,1708734215,-22544067689986,250416359492434561347780035625,true
401,1708734287,-22544085808642,250416370480856030772343877405,true
402,1708734371,-22544106947326,250416383300681078434335026148,true
