time,price,timeRange(seconds)
2024-02-23T17:36:23Z[UTC],11.14,132
2024-02-23T17:37:23Z[UTC],11.09,60
2024-02-23T17:38:11Z[UTC],11.07,48
2024-02-23T17:38:47Z[UTC],11.01,36
2024-02-23T17:40:23Z[UTC],10.95,96
2024-02-23T17:42:35Z[UTC],11.00,132
2024-02-23T17:51:23Z[UTC],11.04,528
2024-02-23T17:53:11Z[UTC],10.97,108
2024-02-23T17:55:11Z[UTC],11.02,120
2024-02-23T17:55:59Z[UTC],10.97,48
2024-02-23T17:59:11Z[UTC],11.01,192
2024-02-23T17:59:47Z[UTC],11.05,36
2024-02-23T18:00:23Z[UTC],11.10,36
2024-02-23T18:01:47Z[UTC],11.05,84
2024-02-23T18:03:59Z[UTC],10.99,132
2024-02-23T18:05:59Z[UTC],10.96,120
2024-02-23T18:06:11Z[UTC],10.91,12
2024-02-23T18:07:11Z[UTC],10.80,60
2024-02-23T18:08:23Z[UTC],10.70,72
2024-02-23T18:08:35Z[UTC],10.67,12
2024-02-23T18:09:11Z[UTC],10.62,36
2024-02-23T18:10:11Z[UTC],10.57,60
2024-02-23T18:11:35Z[UTC],10.61,84
2024-02-23T18:13:35Z[UTC],10.59,120
2024-02-23T18:13:47Z[UTC],10.62,12
2024-02-23T18:14:35Z[UTC],10.64,48
2024-02-23T18:15:47Z[UTC],10.69,72
2024-02-23T18:17:35Z[UTC],10.74,108
2024-02-23T18:18:11Z[UTC],10.67,36
2024-02-23T18:19:47Z[UTC],10.70,96
2024-02-23T18:19:59Z[UTC],10.70,12
2024-02-23T18:23:59Z[UTC],10.66,240
2024-02-23T18:29:59Z[UTC],10.70,360
2024-02-23T18:32:11Z[UTC],10.66,132
2024-02-23T18:38:35Z[UTC],10.74,384
2024-02-23T18:38:59Z[UTC],10.70,24
2024-02-23T18:42:11Z[UTC],10.63,192
2024-02-23T18:43:59Z[UTC],10.68,108
2024-02-23T18:55:59Z[UTC],10.67,720
2024-02-23T18:59:35Z[UTC],10.67,216
2024-02-23T19:00:35Z[UTC],10.71,60
2024-02-23T19:00:47Z[UTC],10.81,12
2024-02-23T19:00:59Z[UTC],10.85,12
2024-02-23T19:05:59Z[UTC],10.94,300
2024-02-23T19:06:11Z[UTC],10.92,12
2024-02-23T19:11:23Z[UTC],10.89,312
2024-02-23T19:11:35Z[UTC],10.93,12
2024-02-23T19:14:23Z[UTC],10.93,168
2024-02-23T19:16:35Z[UTC],10.93,132
2024-02-23T19:17:11Z[UTC],10.85,36
2024-02-23T19:20:11Z[UTC],10.84,180
2024-02-23T19:21:11Z[UTC],10.88,60
2024-02-23T19:21:35Z[UTC],10.92,24
2024-02-23T19:26:59Z[UTC],11.01,324
2024-02-23T19:29:11Z[UTC],11.06,132
2024-02-23T19:30:23Z[UTC],11.02,72
2024-02-23T19:33:35Z[UTC],10.97,192
2024-02-23T19:41:47Z[UTC],11.01,492
2024-02-23T19:41:59Z[UTC],10.89,12
2024-02-23T19:46:23Z[UTC],10.96,264
